o_orderkey,o_custkey,o_orderpriority,o_comment
51685,613,4-NOT SPECIFIED,"s will was along the regular, pending deposits. furiously special "
51686,1186,4-NOT SPECIFIED, boost among the deposits. slyly iron
51687,1294,5-LOW,al accounts instead of the regula
51712,430,1-URGENT,ly express pinto beans. idly special instructions ar
51713,1090,4-NOT SPECIFIED,pinto beans after the quickly pending instructions 
51714,614,4-NOT SPECIFIED,"platelets sublate against the express,"
51715,1421,5-LOW,"ideas. ironic, final requests haggle quickly blithely ironic asympt"
51716,526,1-URGENT,tes? sometimes brave courts cajole quickly blit
51717,919,2-HIGH,ts. blithely regular theodolites nag furiou
51718,596,3-MEDIUM, carefully even foxes haggle. slyly ironic packages above the req
51719,328,5-LOW,"uctions sleep ironic, final packages. slyly fin"
51744,476,2-HIGH,uriously besides the bold
51745,617,2-HIGH,the slyly ironic patterns. courts wake final requests. qui
51746,1022,4-NOT SPECIFIED,old pinto beans. ironic pack
51747,22,3-MEDIUM,tructions: blithely regular instructi
51748,1169,1-URGENT,ly even foxes cajole fluffily about the carefully even foxes. fur
51749,695,2-HIGH,arefully about the blithely regular deposits. specia
51750,202,2-HIGH,nts. carefully bold requests wake furiously furiou
51751,1180,5-LOW,ckages after the finally even accou
51776,538,3-MEDIUM,"endencies wake slyly after the regular, special ideas. even, i"
51777,728,3-MEDIUM, carefully ironic deposits. dependencies wa
51778,284,2-HIGH," instructions. even, bold realms"
51779,1303,1-URGENT,s. furiously regular th
51780,731,5-LOW,cial deposits believe f
51781,385,5-LOW,quickly regular pla
51782,703,2-HIGH,asymptotes cajole deposits. blithely regular patterns doubt slyly i
51783,1498,3-MEDIUM,boost along the slyly slow deposits. pinto be
51808,806,5-LOW,efully special foxes among the blith
51809,229,4-NOT SPECIFIED,r deposits. carefully ironic courts according to the careful
51810,434,1-URGENT,slyly quickly even deposits. furiously ironic accounts 
51811,520,3-MEDIUM, nag fluffily carefully ir
51812,1268,3-MEDIUM, doggedly ironic courts sleep furiously
51813,1334,4-NOT SPECIFIED,o beans. foxes sleep quickly. slyly u
51814,947,1-URGENT,"he close, bold deposits. carefully unus"
51815,1372,5-LOW,round the final accounts. fluffily final gifts 
51840,769,3-MEDIUM,pinto beans alongside of the ideas wak
51841,1405,1-URGENT,endencies. silent packages sleep furiou
51842,1163,5-LOW,"ly regular platelets. pending deposits detect blithely before the express, "
51843,811,2-HIGH,ructions nag furiousl
51844,313,2-HIGH,s! fluffily ironic deposits boost blithely requests. sl
51845,1214,1-URGENT,re carefully above the stealthily ironic req
51846,1132,1-URGENT,ironic theodolites sleep slyly ironic pa
51847,181,5-LOW,ickly. bold accounts doubt slyly alongside of the un
51872,808,3-MEDIUM,jole slyly regular instructions. qu
51873,680,2-HIGH,entiments thrash slyly regular deposits. quickly even dep
51874,722,5-LOW,"ites nag quickly. bold, sp"
51875,1072,4-NOT SPECIFIED,ffily special accounts. slyly pending foxes boost carefully final deposits. 
51876,353,1-URGENT,", slow pinto beans cajole fluffily unusu"
51877,85,1-URGENT,y ironic ideas are slyly slyly regular foxes: deposits wake slyly along th
51878,928,4-NOT SPECIFIED,across the quickly unusual requests. final excu
51879,607,4-NOT SPECIFIED,es? foxes cajole along the slyly ironic dugouts. unusual
51904,1072,2-HIGH,usly against the final foxes. slyly ironic deposits cajole. ironic c
51905,428,1-URGENT,the blithely brave accounts. bold dependencies sleep carefully silent pa
51906,37,2-HIGH,ic theodolites. furiously final ideas inside the furiously p
51907,1243,2-HIGH,use carefully regular de
51908,526,2-HIGH,ly final packages-- quickly regular epitaphs aft
51909,1175,5-LOW,cial foxes. ironic pinto beans detect inst
51910,1087,5-LOW,y fluffily fluffy requests. even theodolites 
51911,572,1-URGENT, ironic theodolites. carefully express acc
51936,709,5-LOW,s across the theodolites nag among the furiously fluffy dependencies. 
51937,1010,2-HIGH,"ular, ironic ideas. slow, final dep"
51938,1123,5-LOW, foxes. slyly even dependencies cajole fluffily
51939,1480,1-URGENT,iously about the carefully express deposits. even
51940,688,2-HIGH,ld ideas. blithely regular instructions against the furiou
51941,218,2-HIGH,"ges are quickly. regular, pending pinto beans are slyly"
51942,136,3-MEDIUM,ests except the final pinto beans ar
51943,94,2-HIGH,es cajole according to the furi
51968,694,3-MEDIUM,e bravely unusual requests. slowly 
51969,1490,2-HIGH, instructions nag blithely. blithely unusual requests boost furiously final d
51970,719,4-NOT SPECIFIED,. carefully final requ
51971,145,4-NOT SPECIFIED,ideas. always even accounts will affix about the blithely regu
51972,1444,5-LOW,y regular pinto bean
51973,677,3-MEDIUM," pending, pending pains are final requests. quickly iro"
51974,1004,2-HIGH,e even pinto beans snooze fur
51975,1436,5-LOW, final requests sleep fluffily carefully silent package
52000,851,5-LOW,"into beans integrate. even, regular request"
52001,454,2-HIGH,"even foxes. silent requests wake silent, regular packages. blithely bold "
52002,1243,2-HIGH,ng the furiously final accounts are 
52003,1064,5-LOW,e packages haggle quickly across the furiously unusual accounts. permanen
52004,575,5-LOW,dazzle across the blithely bold instructions
52005,916,3-MEDIUM,print blithely quick requests. silently final foxes n
52006,757,3-MEDIUM,r the final deposits. quic
52007,247,3-MEDIUM,"ironic, permanent requests boost blithely. regular fox"
52032,1294,5-LOW,efully unusual epitaphs are blithely asymptotes. carefully even 
52033,223,2-HIGH,". even, final packages against the slyly"
52034,175,3-MEDIUM,"es. final, pending pinto beans wake blithely boldly regular packa"
52035,1060,2-HIGH,en theodolites haggle along the carefully final waters. 
52036,1436,3-MEDIUM,quests. slyly even accounts are. furiously unusual pin
52037,577,4-NOT SPECIFIED,to beans mold blithely. fluffily regular 
52038,610,2-HIGH,"ach carefully alongside of the unusual, reg"
52039,812,1-URGENT,ffily ironic excuses. final theodolites 
52064,467,1-URGENT,s use. quickly final ideas wake fluffily bold request
52065,1204,5-LOW,leep furiously ironic theodolites. requests sleep blithely. notornis 
52066,1496,2-HIGH,"r the unusual, even accounts. fluffil"
52067,482,4-NOT SPECIFIED,eas. permanently even ideas 
52068,301,4-NOT SPECIFIED,old requests cajole slyly af
52069,271,4-NOT SPECIFIED,y final instructions across th
52070,1187,4-NOT SPECIFIED,en excuses. even pinto beans nag. so
52071,1345,4-NOT SPECIFIED,ackages print ironically above
52096,824,5-LOW,blithely across the quickly bold packages. final deposits integrate permanen
52097,307,2-HIGH,"uests haggle along the special, blithe deposits. foxes affix sl"
52098,274,3-MEDIUM,"platelets sleep by the special, unusual deposits. slyly pending instructi"
52099,932,2-HIGH, quickly furiously bold foxes. attainments maintain furiou
52100,232,5-LOW,e above the requests. furiously regular plate
52101,1258,5-LOW,uests. silent packages are ca
52102,715,3-MEDIUM,"ly. stealthy, regular pinto beans cajole furiously sometimes ironic t"
52103,1454,3-MEDIUM,"s. bold, silent foxe"
52128,331,4-NOT SPECIFIED,cross the furiously express theodolites wake carefull
52129,227,2-HIGH,y furiously final accounts. enticingly ironic ideas wake ca
52130,1136,5-LOW,es boost blithely reg
52131,1303,5-LOW," even foxes. enticing, express pint"
52132,586,1-URGENT,dolites nag slyly. furiously pending deposits cajole 
52133,406,5-LOW,yly unusual deposits maintain carefully slyly regular theodolites. r
52134,17,5-LOW,lyly against the bold ideas. warthogs are a
52135,268,5-LOW,"about the even, regular hockey players cajole carefully across the u"
52160,25,1-URGENT,s. slyly express requests haggle. carefully unusual pinto
52161,952,4-NOT SPECIFIED,ajole blithely bold accounts. slyly e
52162,1081,4-NOT SPECIFIED,blithely pending deposits use p
52163,1300,5-LOW,ffily express ideas are across the bold dependencies. final
52164,268,4-NOT SPECIFIED,thely about the furiou
52165,253,4-NOT SPECIFIED,ns nag along the furiously unusual ideas! final acc
52166,829,5-LOW,"ole blithely. express courts haggle fluffily unusual, final r"
52167,1276,1-URGENT,slyly special deposits cajole orbi
52192,1160,2-HIGH,d are carefully above the bold re
52193,266,4-NOT SPECIFIED,rding to the silent excuses affix carefully according to th
52194,991,1-URGENT,ter the furiously unusual packa
52195,175,4-NOT SPECIFIED,"es. unusual theodolites among the final, final packages"
52196,697,4-NOT SPECIFIED,gular excuses-- pending requests are blithel
52197,143,1-URGENT,usual deposits wake. fo
52198,1055,2-HIGH,y after the furiously final dinos! theodo
52199,1468,3-MEDIUM, carefully fluffily ironic
52224,1241,2-HIGH, haggle after the quickly reg
52225,706,1-URGENT,"efully unusual packages. ironic, silent foxes nag alongside of the fluffily"
52226,1361,1-URGENT,symptotes. ironic instructions sleep never.
52227,1276,3-MEDIUM,ress asymptotes. ironically ironic requests among the quic
52228,880,1-URGENT,ong the furiously regular dolphins cajole blithely across the 
52229,1261,1-URGENT, packages. thin theod
52230,535,1-URGENT,bove the regular dolphins cajole blith
52231,691,4-NOT SPECIFIED,", ironic theodolites boost furiously: blithe"
52256,695,4-NOT SPECIFIED,regular packages past the slyly brave requests are around the final d
52257,1451,5-LOW,. regularly bold foxes cajole regu
52258,52,5-LOW, across the ideas solve blithely pending pac
52259,148,4-NOT SPECIFIED,oss the carefully ironic theodolites are furiously pending pain
52260,809,4-NOT SPECIFIED,es. regular dolphins haggle blit
52261,1000,4-NOT SPECIFIED,. blithely silent asymptotes cajole against the express courts. express as
52262,715,4-NOT SPECIFIED,heodolites above the daringly even excuses sleep across the
52263,1,4-NOT SPECIFIED,"lly ironic, even packages. bold foxes wake carefully. bold requests hag"
52288,7,2-HIGH,ual deposits are fluffi
52289,184,5-LOW,al theodolites wake bl
52290,842,5-LOW,ithes cajole quickly alongside of the b
52291,76,1-URGENT,"ependencies. ironic, pending hockey players use carefully. regu"
52292,43,4-NOT SPECIFIED,es. blithely even sauternes haggle blithely
52293,961,2-HIGH,"deas nag furiously among the slyly special grouches. regular, special"
52294,229,1-URGENT,lar foxes. quickly final deposits slee
52295,58,1-URGENT,ally along the ruthlessly ironic dependencies. ironic platelets nag slyly afte
52320,809,5-LOW,g courts eat. blithely silent accounts boost fluffily. blithely regular pa
52321,217,2-HIGH,"ic requests? ironic requests sleep around the regular, even ac"
52322,266,5-LOW,ctions. final deposits wake slyly above the quickly unusual 
52323,851,1-URGENT,s the fluffily bold accounts. blithely ironic pinto beans haggl
52324,1039,4-NOT SPECIFIED,n the unusual instructions. blith
52325,791,4-NOT SPECIFIED,the slyly quiet requests nag furiously furiously final pinto beans. 
52326,1103,5-LOW, quickly permanent deposits. blithely ironic theodolites wake fur
52327,1423,3-MEDIUM,"fix blithely even deposits. unusual, final requests sleep quickly at the regul"
52352,182,5-LOW,ironic packages haggle. furiously slow accounts cajole! even pla
52353,793,1-URGENT,xes-- carefully regular requests detect. furiously regular theodolite
52354,82,1-URGENT,refully regular pinto beans. regular foxes play
52355,1213,3-MEDIUM,old depths; quickly ironic pinto beans must have 
52356,208,2-HIGH,ng requests. furiously silent deposits are slyly pending ideas. fluffily 
52357,409,4-NOT SPECIFIED,packages nod furiously. fin
52358,178,2-HIGH,sits cajole blithely slyly ironic packages
52359,932,2-HIGH,. foxes wake fluffily idle pack
52384,1318,4-NOT SPECIFIED,ggle carefully. finally special instructions promise qui
52385,811,5-LOW,ully unusual instructions wake after the sly
52386,794,2-HIGH,lyly according to the furiously express dolphins. dep
52387,898,3-MEDIUM,e slyly even accounts?
52388,907,4-NOT SPECIFIED,express accounts cajole u
52389,1291,1-URGENT,"ounts. special, special hockey players integrate fluffily ironic i"
52390,832,4-NOT SPECIFIED,"ut the furiously express dolphins. final, expre"
52391,179,2-HIGH,ular deposits sleep alongside of the carefully ironic th
52416,1321,4-NOT SPECIFIED," special packages are. final, special courts may haggle against the quic"
52417,952,3-MEDIUM,pending dolphins haggle quickly across the furiously regular r
52418,133,1-URGENT,lithely final asymptotes. dari
52419,151,2-HIGH,nding platelets wake slyly bold packages. regular theodolites thra
52420,589,4-NOT SPECIFIED,ounts nag after the furiously ironic platelets. f
52421,992,1-URGENT,heodolites. fluffily ironic accou
52422,1220,5-LOW,gular deposits detect carefully. deposits wake careful
52423,1255,1-URGENT,sly express requests cajole according to the quickly even d
52448,427,4-NOT SPECIFIED, bravely slyly unusual courts; do
52449,517,1-URGENT,nusual excuses. blithely special packa
52450,827,2-HIGH,le furiously alongside of the quickly 
52451,1130,2-HIGH,nic deposits. slyly furious packages ma
52452,247,4-NOT SPECIFIED, packages sleep carefully. requests detect furious
52453,937,4-NOT SPECIFIED,"he final requests. pending platelets boost. bold, un"
52454,652,1-URGENT,s. silently thin asymptotes haggle blithely. r
52455,208,1-URGENT,ckages. permanently express depos
52480,583,4-NOT SPECIFIED,final gifts. dogged ideas are quickly. theodolites use accoun
52481,806,4-NOT SPECIFIED,ctions. fluffily regular dolphins affix slyly. fluffily ironic 
52482,1453,1-URGENT,"fluffily final excuses sleep furiously bold deposits. dogged, even theodolite"
52483,650,3-MEDIUM,ests boost blithely after the slyly express packages. blithe
52484,1253,3-MEDIUM,en pinto beans according to the special
52485,1093,3-MEDIUM,equests. slyly pending accounts grow fluffily
52486,202,4-NOT SPECIFIED,s the slyly ironic foxes. packa
52487,523,1-URGENT,ronic deposits use quickly a
52512,472,2-HIGH,usy deposits integrate
52513,1159,3-MEDIUM,ly even requests. slyly regular requests acco
52514,1090,3-MEDIUM, theodolites will ha
52515,1249,2-HIGH,the quickly unusual deposits. furiously sil
52516,1150,2-HIGH,l pinto beans are quickly slyly express pinto beans. quickly
52517,359,3-MEDIUM,"xpress, regular decoys si"
52518,1205,1-URGENT,t the express requests. regular pinto beans above the even
52519,1229,2-HIGH,ar ideas. furiously unusual theod
52544,1114,4-NOT SPECIFIED,osits shall detect regularly slyly even theodolites; carefully fina
52545,1042,4-NOT SPECIFIED, the quickly unusua
52546,1213,1-URGENT,"ing, express packages. slyl"
52547,257,2-HIGH,regular platelets boost into the carefully quiet theodolites. quickly
52548,88,2-HIGH,c ideas. furiously express dependencies integrate sl
52549,1159,1-URGENT,"usual requests. pending, f"
52550,746,5-LOW,al requests alongside of the quickly unusual requests slee
52551,28,4-NOT SPECIFIED,lithely. carefully express foxes 
52576,691,5-LOW,"unts. regular, ironic packages"
52577,889,3-MEDIUM,"quests? even, close accounts wake blithely according to the final deposits."
52578,46,1-URGENT,r deposits. slyly ironic requests nag. careful
52579,887,1-URGENT,ackages haggle furiously unusual acc
52580,694,2-HIGH,e bold pinto beans. express deposits cajole furiously after the expres
52581,223,2-HIGH, quickly final somas believe. furiously pen
52582,136,1-URGENT,to detect. carefully final ideas boost furiously slyly final pin
52583,853,3-MEDIUM, express accounts are carefully after t
52608,1318,5-LOW,ily pending instructions eat among the slyly even p
52609,227,2-HIGH,"e regular asymptotes. express, regular"
52610,1055,1-URGENT,the slyly special notornis was along the sly
52611,1454,3-MEDIUM,"ccounts. bold, regular ideas boost slyly quickly special requests. spec"
52612,1235,4-NOT SPECIFIED,"s, ironic requests. escapades promise? carefully unusual dolphins nag "
52613,176,3-MEDIUM,ress requests. even requests wake slyly furiou
52614,898,4-NOT SPECIFIED,. pinto beans lose e
52615,1330,5-LOW,usual deposits. stealthily special dependencies sublate fluffily. evenly bo
52640,349,3-MEDIUM,nusual ideas. slyly even pinto beans integrate carefully requests. slyl
52641,743,4-NOT SPECIFIED,into beans. furiously even pinto beans until the special deposits boost
52642,889,5-LOW,tes. quickly regular platelets use f
52643,178,4-NOT SPECIFIED,"omise furiously bold, even theodolites. special deposits are furiously"
52644,640,2-HIGH,"ial ideas haggle slyly express, unusual orbits. final accounts nag above t"
52645,316,5-LOW,slyly express dependencies around the pending accounts are furious
52646,176,4-NOT SPECIFIED," the furiously special requests. ironic, even ideas was thinly. regula"
52647,658,3-MEDIUM, furiously express foxes sleep theodolites. packages sleep blith
52672,827,5-LOW,equests haggle along the carefully expres
52673,5,3-MEDIUM,cajole: ironic deposits are carefully fluffily express ideas. final pla
52674,1426,3-MEDIUM,daring deposits. accounts after the slyly special requests sleep accordin
52675,1210,3-MEDIUM,ronic grouches. care
52676,466,2-HIGH,aggle blithely against the 
52677,319,1-URGENT,"never dolphins. regular theodolites sleep with the final, ironic "
52678,919,2-HIGH,express requests. care
52679,118,1-URGENT,ggle express foxes. steal
52704,247,1-URGENT, foxes. doggedly unusual instructions use fluffi
52705,296,2-HIGH,. bravely ironic packages alongside of the furiously e
52706,302,5-LOW,ackages sleep against the fluffily ironic ideas. pending excuses boost. furi
52707,1304,1-URGENT,r dolphins. express platelets haggle furiously. slyl
52708,1094,5-LOW,e after the slyly final foxes. fluffily ironic grouches a
52709,679,4-NOT SPECIFIED,"yly unusual requests. regular, special instructions sle"
52710,841,5-LOW,carefully express pinto beans. fluffily express
52711,1073,4-NOT SPECIFIED,ns detect slyly foxes. blithely b
52736,739,2-HIGH,gular instructions across the blithely unusual asymptotes u
52737,1118,4-NOT SPECIFIED,"ronic foxes use blithely. regular, final accounts us"
52738,823,4-NOT SPECIFIED,old ideas. carefully special requests are blithely. quickly final 
52739,610,4-NOT SPECIFIED,r accounts promise furiously thin deposits. fin
52740,259,5-LOW,ts. furiously special depos
52741,967,4-NOT SPECIFIED,ccounts wake blithely even packages. carefully pendin
52742,682,5-LOW,ully carefully final theodo
52743,1288,2-HIGH,equests. furiously express deposits su
52768,106,5-LOW,ve the blithely special deposits. fluf
52769,229,1-URGENT,ages. blithely regular accounts around the ac
52770,1226,4-NOT SPECIFIED," the ironic accounts. ironic, express deposit"
52771,1336,4-NOT SPECIFIED,s. express accounts are carefully fluffily ironic deposits. furiousl
52772,908,1-URGENT, ironic packages are a
52773,976,5-LOW,nal deposits are furiously. unusual foxes should are c
52774,580,3-MEDIUM, the carefully special warthogs. slyl
52775,1033,1-URGENT,s nag quickly. final foxes sle
52800,703,4-NOT SPECIFIED,uriously furiously unusual deposits. fluffy dep
52801,823,1-URGENT, dolphins. excuses promise furi
52802,992,5-LOW,pecial foxes. pinto beans nag fluffily a
52803,628,2-HIGH,"sly even, final theodolites. furiously ironic forges detect: fluffily iron"
52804,1075,1-URGENT," ironic packages use slyly. special, regular packages sleep "
52805,352,2-HIGH,yly regular packages ar
52806,221,2-HIGH,kages wake along the ironic pinto bea
52807,328,3-MEDIUM,final accounts wake carefully slyly pe
52832,317,3-MEDIUM,"s sleep. bold, final deposits detect along the quick acco"
52833,700,3-MEDIUM,s sleep carefully around the blithely quick frets. sometimes silent re
52834,1384,1-URGENT,pending pinto beans. even reque
52835,808,4-NOT SPECIFIED,p furiously. furiously unusual reques
52836,1307,5-LOW,"nic dolphins should have to cajole even, bold pac"
52837,1297,1-URGENT,ing instructions. blithe 
52838,595,4-NOT SPECIFIED,ar ideas are slyly abov
52839,1201,2-HIGH,out the accounts run quickly furiously final deposit
52864,835,5-LOW, carefully even ideas cajole fluffily blithely ironic
52865,356,4-NOT SPECIFIED,ldly regular foxes cajole qui
52866,49,4-NOT SPECIFIED,"encies according to the carefully even deposits sleep final, final pack"
52867,1216,2-HIGH,", unusual theodolites lose carefully after the final excuses. car"
52868,829,5-LOW,atelets according to the permanently pending asymptotes run blithely carefu
52869,803,3-MEDIUM,lly ironic accounts. spec
52870,430,4-NOT SPECIFIED,ly final requests among the carefully bold foxes impress among the acc
52871,610,3-MEDIUM,ticingly special accounts. blithely special requests are regularly around 
52896,727,2-HIGH,"nic accounts about the even, pending wate"
52897,676,3-MEDIUM,uriously final pinto beans
52898,446,3-MEDIUM, sleep slyly slyly final theodolites. ironic instr
52899,1372,4-NOT SPECIFIED,ven ideas use even asymptotes. furiously pending packages sle
52900,1339,2-HIGH,"ecial accounts. pending, even accounts sleep against the slyly"
52901,562,1-URGENT,ns wake blithely furiously pending dolphins. furiously ironic p
52902,790,5-LOW, beans. blithely ironic deposits hang careful
52903,7,1-URGENT,ackages boost after the even accounts. furiously s
52928,1198,3-MEDIUM,orbits. quickly special packages cajole after the sometimes unusual 
52929,1018,2-HIGH,dolphins cajole according to the slyly pendin
52930,1375,5-LOW,"ymptotes. special, pending requests are fluffily even bra"
52931,898,4-NOT SPECIFIED,ly. carefully final theodolites detect packages. silent dep
52932,421,5-LOW,. carefully ironic packages alongside of the packages 
52933,106,5-LOW,ackages through the fur
52934,1234,1-URGENT,e pending accounts hag
52935,826,1-URGENT,ly ironic packages nag carefully. bold requests are fluffily about
52960,52,4-NOT SPECIFIED,lyly ironic packages. carefully regular ideas after the slyly pending f
52961,88,2-HIGH,"ld, unusual accounts wake. theodolites sleep carefully slyly bold pear"
52962,1084,4-NOT SPECIFIED,sts detect. blithely pending dependencie
52963,106,1-URGENT,s along the ironic f
52964,1441,1-URGENT,lar packages wake after the even requests. s
52965,676,3-MEDIUM,thless pinto beans use about the blithe
52966,532,2-HIGH,e slyly bold requests. furiously regular foxes cajole. blithely 
52967,1391,3-MEDIUM,luffily special depo
52992,1279,4-NOT SPECIFIED,y even deposits. ideas wake. f
52993,526,3-MEDIUM,usual requests boost about the sometimes speci
52994,100,3-MEDIUM,ost against the deposits. slyly ironic packages after the blithely regular 
52995,559,4-NOT SPECIFIED,ts. furiously unusual packages hinder blithely according t
52996,1117,5-LOW,final instructions are slyly unusual dependencies. slyly un
52997,947,4-NOT SPECIFIED,ly final platelets cajole slyly above the even accounts. furiously reg
52998,1460,5-LOW,ccounts cajole platelets. blithely special accounts boost. bold platelets ha
52999,737,4-NOT SPECIFIED,y even ideas. blithely final warthogs detect across the furiously speci
53024,1195,4-NOT SPECIFIED,fter the blithely special packages. slyly
53025,1162,1-URGENT,"ully final requests mold across the slyly bold foxes-- pending, pending "
53026,446,5-LOW,"sits? ironic, final ideas sleep blithely along "
53027,694,5-LOW, according to the quickly ironic sauternes. thinly express instructions wake 
53028,599,1-URGENT,"efully brave ideas. final, specia"
53029,1313,5-LOW,ts haggle quickly regular sheaves. regularly 
53030,649,4-NOT SPECIFIED,ole slyly. blithely pending asymptotes
53031,65,1-URGENT,ts. slyly even ideas integrate above the quickly special accounts. slyly regu
53056,880,1-URGENT,arefully beyond the final theodoli
53057,1000,1-URGENT,ests. instructions cajo
53058,805,2-HIGH,egular instructions along the blithely regular dinos ki
53059,352,1-URGENT,ronic deposits. express dolphins nag blithely idly regular instructio
53060,571,1-URGENT,e carefully regular warhorses. theodolites boost fluffily above 
53061,35,3-MEDIUM,dolites wake furiously about the quickly unusual theodolites. reg
53062,1051,1-URGENT,carefully final packa
53063,397,4-NOT SPECIFIED,areful ideas. carefully regular foxes sleep never pending dugouts. r
53088,767,3-MEDIUM,y even deposits. carefully regular accounts cajol
53089,1414,1-URGENT,ourts about the furiously final realms wake about the slyly regular re
53090,893,4-NOT SPECIFIED,o beans sleep fluffily after the fu
53091,670,3-MEDIUM,onic ideas wake furiously. special platelets according to the carefull
53092,77,1-URGENT,beans boost slyly deposits. ent
53093,205,5-LOW,zle against the unusual
53094,719,4-NOT SPECIFIED,. furiously special ideas wake slyly idle deposits. furiously fin
53095,578,2-HIGH,fluffily pending ideas sleep above the furiously even packages? regular 
53120,440,4-NOT SPECIFIED,ely even deposits. sly
53121,170,5-LOW,atelets. carefully regular pinto beans must detect 
53122,1333,4-NOT SPECIFIED,lar accounts haggle quickly alongside of the carefully ironic packages. c
53123,236,4-NOT SPECIFIED,he carefully regular escapades cajole fluffily bold foxes. furi
53124,25,4-NOT SPECIFIED,s. even patterns haggle. furi
53125,1055,5-LOW,posits between the ruthless frays dazzle slyly blithely
53126,71,4-NOT SPECIFIED,past the carefully final accounts are sometimes among the carefully ironi
53127,175,2-HIGH,slyly regular pearls. regular packages sublate
53152,1177,3-MEDIUM, gifts. daringly unusual packages across the carefully regular requests boo
53153,8,1-URGENT, unusual excuses haggle slyly final platelets. 
53154,367,4-NOT SPECIFIED, above the stealthily special platelets. blithely ironic requests nag ironi
53155,211,2-HIGH, deposits detect carefully ironic requests
53156,65,4-NOT SPECIFIED,y regular packages. slyly ruthless packages ca
53157,902,5-LOW,ly express dependencies. furio
53158,166,3-MEDIUM,gainst the slyly final pinto beans wake quickl
53159,1307,2-HIGH,nic requests. regular t
53184,1279,3-MEDIUM,es above the slyly 
53185,371,5-LOW,g packages are carefully slyly silent pinto beans. unusual cour
53186,1222,3-MEDIUM,tes affix. furiousl
53187,239,1-URGENT,odolites sleep blithely furiously final packages. fu
53188,941,2-HIGH,requests. excuses print. blithely 
53189,793,1-URGENT,blithely regular de
53190,877,3-MEDIUM,lar packages lose slyly express requests. boldly special platelets
53191,1129,2-HIGH,"as. even, bold theodolites across the furiously final asy"
53216,121,2-HIGH,s according to the carefu
53217,244,4-NOT SPECIFIED,arefully special ideas wake slyly unusual p
53218,1177,1-URGENT,refully even accounts. bold instructions alongside of t
53219,131,1-URGENT, cajole carefully bold a
53220,553,4-NOT SPECIFIED,"tructions are carefully quickly final courts. ironic, special pinto b"
53221,1432,4-NOT SPECIFIED,kages. slyly regular waters haggle slyly slyly pending p
53222,1460,5-LOW,s might are blithel
53223,1390,5-LOW,"even foxes. final, unusual depo"
53248,382,1-URGENT, ideas alongside of the theodolites e
53249,1309,5-LOW,ously about the ironic pinto beans-- blithely unusual dol
53250,770,2-HIGH,d packages. carefully regular 
53251,899,1-URGENT,carefully furiously regular deposits. slyly speci
53252,907,1-URGENT,luffily final foxes ca
53253,214,4-NOT SPECIFIED,ly. blithely regular deposits toward the unusual theodolites n
53254,1331,3-MEDIUM, requests. quickly final courts haggle blithely slyly regular requests. expres
53255,901,2-HIGH,ronic instructions. bold
53280,1462,2-HIGH," use fluffily. bold, bold packages print. final foxes along the furiously spe"
53281,79,1-URGENT,out the unusual requests sleep carefully excuses. care
53282,473,2-HIGH, final accounts are quickly fluffily ironic
53283,1,2-HIGH,ged requests. slyly final platelets
53284,355,1-URGENT,deas along the slyly express deposits run 
53285,181,1-URGENT,efully special ideas. notornis across the fluff
53286,1268,3-MEDIUM,"uietly excuses. special, express deposits wake regular"
53287,1490,1-URGENT,nstructions. blithely final requ
53312,145,3-MEDIUM,quests wake blithely among the 
53313,740,5-LOW,arefully unusual requests sleep
53314,749,2-HIGH,ound the slyly regular
53315,1360,2-HIGH,lithely bold escapades wake fluffily according 
53316,805,3-MEDIUM,uickly regular deposits. blithely special accounts cajole slyly around the 
53317,1291,1-URGENT,use blithely regular platelets. carefully express theodolites int
53318,1412,5-LOW,ns are according to the quickly express ideas. regular
53319,932,4-NOT SPECIFIED,ccounts. furiously final requests wake slyly across the blithely regular packa
53344,922,2-HIGH,ls. unusual packages
53345,589,4-NOT SPECIFIED,ly special instructions. boldly final ide
53346,577,2-HIGH,gle quickly foxes. unusual 
53347,323,5-LOW,onic requests boost slyly furiously pend
53348,565,4-NOT SPECIFIED,refully ironic foxes. special packages haggle quickly packages.
53349,377,5-LOW,cross the blithely r
53350,251,4-NOT SPECIFIED,hely bold deposits are darin
53351,1429,5-LOW, regular packages haggle furiously regular foxes. permanently regular p
53376,1489,5-LOW,"mptotes. regular, ironic re"
53377,1058,1-URGENT,"ording to the carefully regular requests nag carefully final, pending accou"
53378,856,3-MEDIUM,sits cajole carefully. blithely special fo
53379,451,2-HIGH, slyly final foxes. bold packages are according to the ironi
53380,1013,4-NOT SPECIFIED,coys detect furiously along the final dugouts. carefully even warthogs cajol
53381,493,1-URGENT, dependencies haggle a
53382,461,4-NOT SPECIFIED,thely special asymptotes. accounts according to the ironic hockey players det
53383,433,4-NOT SPECIFIED,refully final deposits haggle slyly rut
53408,655,3-MEDIUM,"unts are blithely. regular, final ideas aro"
53409,973,4-NOT SPECIFIED,snooze blithely. furiously silent requests boost express ideas. carefully 
53410,1085,1-URGENT, pending accounts. bold ac
53411,1226,1-URGENT,"fully regular foxes haggle across the ironic, s"
53412,448,1-URGENT,"r, final pinto beans. u"
53413,1123,2-HIGH,"ronic, even dependencies boost"
53414,1171,3-MEDIUM, requests wake at the carefully steal
53415,53,5-LOW,", even packages haggle fluffily among the requests. platelets affi"
53440,541,2-HIGH,furiously permanent
53441,898,3-MEDIUM,ions print blithely. furiously 
